repository,owner_repo,tags,zip_sha256
https://github.com/Kitakyushulassavirus728/ResearcherSkill,Kitakyushulassavirus728/ResearcherSkill,skill,7a78adf7fdd0420f014ab7357b621ab847e61b6ec18596ed3a6f58207d702b27
https://github.com/Kotty2998/claude-plugins-official,Kotty2998/claude-plugins-official,plugin,claude,32f5ff07e82a98ba6c020be7daf68ab3d29667a518e935046e10d9f0600ca89c
https://github.com/KungBugFuOnYou/tubescrape,KungBugFuOnYou/tubescrape,parser,8f0fc2cf75731a44265755b35f114c0c7fca8114431526dca562a5a30109a40b
https://github.com/LLl0k0laD/agent-skills,LLl0k0laD/agent-skills,skill,53c8505dc61840e905e4e8dd0b8a7e8f1b5c680e39022c75c4460433ad7218b4
https://github.com/Leechlike-intangibleasset343/claude-code-statusline,Leechlike-intangibleasset343/claude-code-statusline,claude,084c44f126804d873997aa5d1db84dc347e811587bbe105fb4763343df135a67
https://github.com/Lexicostatistic-scenarist364/skills,Lexicostatistic-scenarist364/skills,skill,f0b2d7491a66ab87cb5e634dbfaba7067dbff83acecf72484202dce081877c94
https://github.com/LightDopper/skill-codex,LightDopper/skill-codex,skill,1677016140c13a60dd8ff2839b2c004cffeff6202038cd6fb5c2ab603fbaa763
https://github.com/Liquid-erigeronphiladelphicus552/check-prd-skill,Liquid-erigeronphiladelphicus552/check-prd-skill,skill,af22a393b151999dc79ae5416fc3bf0786eddae42f63d0967f5f4c1e142c2db3
https://github.com/Lo9manjpeg/claude-design-engineer,Lo9manjpeg/claude-design-engineer,claude,283e3f1fe852f07339e41e58f545aba0ca3b8e5009f17008faa6979425ca67d3
https://github.com/Logiiiii/unity-agent-skills,Logiiiii/unity-agent-skills,skill,191670d32a26e68896d43230216283acb765725ee6526f86264d36a445f8444b
https://github.com/Louishin/claude-api-cost-optimization,Louishin/claude-api-cost-optimization,claude,bf656d79e92e89bdee979ff7292df7f39a31fbe2617c21f15ba8f935dd0acb7d
https://github.com/Loune3213/Wazuh-Openclaw-Autopilot,Loune3213/Wazuh-Openclaw-Autopilot,openclaw,1878d81bfbc4042b78e61293bcf508f29f8eff847c17965c2650a8400ea1b6c5
https://github.com/LucasGarrote/claude-cowork-guide,LucasGarrote/claude-cowork-guide,claude,e2c8590bba59674af4a86107a80dab7db630a58968d8105596418aa5e73ebd33
https://github.com/Lucys924/awesome-claude-code,Lucys924/awesome-claude-code,claude,9fd6d8304264b9ee9920939a41872cd5da6f8149a9c7524da9fa49af4fc5a4db
https://github.com/LuizinTheHeroSalyer/facebook-events-scraper,LuizinTheHeroSalyer/facebook-events-scraper,parser,b757d594c4a5616056c4d7a1405fcdb0e792d7afd152f80130a8123eec34f4d1
https://github.com/Luminex99/immobiliare-it-listing-page-scraper-by-search-url,Luminex99/immobiliare-it-listing-page-scraper-by-search-url,parser,c92bb74df83603473a861d6fe20953d046b8884b844efaabfa97db5ac1889d94
https://github.com/MAKEITFREE/MCP-X-web,MAKEITFREE/MCP-X-web,mcp,410ed4b4ab0e6a5f3ee5a3b008ee5968877d4a0142b1674014a02851d94a16b2
